fuente,codigo,producto,familia,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,aplicacion_dayco,tipo_dayco,dimension,posicion,abs
DAYCO,700101,Manguera,MANGUERA,,,,,https://webcateu.dayco.ws/img/products/700101.jpg,https://www.dayco.com/la-es/catalog/?search=700101,Refrigeración,COOLING HOSE,,,
DAYCO,8PK2055HD,Correa Poly-V,CORREA POLY-V,,,1389025 (SCANIA) | 1389047 (SCANIA) | 1530982 (SCANIA) | 1856805 (DAF) | 1943454 (DAF) | 20459724 (VOLVO) | 3341623 (CATERPILLAR) | 4C4519D621AB (FORD) | 5010512587 (RENAULT) | 9069971092 (MERCEDES-BENZ),,https://webcateu.dayco.ws/img/products/8PK.jpg,https://www.dayco.com/la-es/catalog/?search=8PK2055HD,Auxiliar,POLY-V,,,
DAYCO,8PK1510HD,Correa Poly-V,CORREA POLY-V,,,,,https://webcateu.dayco.ws/img/products/8PK.jpg,https://www.dayco.com/la-es/catalog/?search=8PK1510HD,Auxiliar,POLY-V,,,
DAYCO,900073,Manguera,MANGUERA,,,,,https://webcateu.dayco.ws/img/products/900073.jpg,https://www.dayco.com/la-es/catalog/?search=900073,Refrigeración,HOSE,,,
DAYCO,701737,Manguera,MANGUERA,,,,,https://webcateu.dayco.ws/img/products/701737.jpg,https://www.dayco.com/la-es/catalog/?search=701737,Refrigeración,HOSE,,,
DAYCO,700178,Manguera,MANGUERA,,,,,https://webcateu.dayco.ws/img/products/700178.jpg,https://www.dayco.com/la-es/catalog/?search=700178,Refrigeración,COOLING HOSE,,,
DAYCO,700102,Manguera,MANGUERA,,,,,https://webcateu.dayco.ws/img/products/700102.jpg,https://www.dayco.com/la-es/catalog/?search=700102,Refrigeración,COOLING HOSE,,,
DAYCO,701738,Manguera,MANGUERA,,,,,https://webcateu.dayco.ws/img/products/701738.jpg,https://www.dayco.com/la-es/catalog/?search=701738,Refrigeración,HOSE,,,
DAYCO,8PK2135HD,Correa Poly-V,CORREA POLY-V,,,,,https://webcateu.dayco.ws/img/products/8PK.jpg,https://www.dayco.com/la-es/catalog/?search=8PK2135HD,Auxiliar,POLY-V,,,
DAYCO,700043,Manguera,MANGUERA,,,,,https://webcateu.dayco.ws/img/products/700043.jpg,https://www.dayco.com/la-es/catalog/?search=700043,Refrigeración,COOLING HOSE,,,
DAYCO,700100,Manguera,MANGUERA,,,,,https://webcateu.dayco.ws/img/products/700100.jpg,https://www.dayco.com/la-es/catalog/?search=700100,Refrigeración,COOLING HOSE,,,
DAYCO,12PK1814HD,Correa Poly-V,CORREA POLY-V,,,,,https://webcateu.dayco.ws/img/products/12PK.jpg,https://www.dayco.com/la-es/catalog/?search=12PK1814HD,Auxiliar,POLY-V,,,
DAYCO,4PK1041EEHD,Correa Poly-V,CORREA POLY-V,,,,,https://webcateu.dayco.ws/img/products/4PK.jpg,https://www.dayco.com/la-es/catalog/?search=4PK1041EEHD,Auxiliar,POLY-V,,,
DAYCO,700141,Manguera,MANGUERA,,,,,https://webcateu.dayco.ws/img/products/700141.jpg,https://www.dayco.com/la-es/catalog/?search=700141,Refrigeración,COOLING HOSE,,,
DAYCO,1273,Tensor genérico,TENSOR,,,,,https://webcateu.dayco.ws/img/products/1273.jpg,https://www.dayco.com/la-es/catalog/?search=1273,Auxiliar,TENSIONER&PULLEY,,,
DAYCO,701153,Manguera,MANGUERA,,,,,https://webcateu.dayco.ws/img/products/701153.jpg,https://www.dayco.com/la-es/catalog/?search=701153,Refrigeración,HOSE,,,
DAYCO,KTB286,Kit de distribución,KIT DISTRIBUCION,,,1672143 (FORD) | 31368072 (VOLVO),,https://webcateu.dayco.ws/img/products/KTB286.jpg,https://www.dayco.com/la-es/catalog/?search=KTB286,Principal,TIMING BELT KIT,,,
