fuente,codigo,producto,familia,marca,modelo,anio,info,oem,imagen_producto,url_ficha,aplicacion_dayco,tipo_dayco,dimension,motor,kw,hp,posicion,abs,ficha_oem,ficha_info
DAYCO,4PK855,Correa Poly-V,CORREA POLY-V,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/4PK.jpg,https://www.dayco.com/la-es/catalog/?search=4PK855,Auxiliar,POLY-V,,16V,103,141,,,,
DAYCO,4PK862,Correa Poly-V,CORREA POLY-V,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/4PK.jpg,https://www.dayco.com/la-es/catalog/?search=4PK862,Auxiliar,POLY-V,,16V,103,141,,,,
DAYCO,5PK975,Correa Poly-V,CORREA POLY-V,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/5PK.jpg,https://www.dayco.com/la-es/catalog/?search=5PK975,Auxiliar,POLY-V,,16V,103,141,,,,
DAYCO,6PK1930,Correa Poly-V,CORREA POLY-V,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/6PK.jpg,https://www.dayco.com/la-es/catalog/?search=6PK1930,Auxiliar,POLY-V,,16V,103,141,,,,
DAYCO,73261,Manguera,MANGUERA,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/73261.jpg,https://www.dayco.com/la-es/catalog/?search=73261,Refrigeración,COOLING HOSE,,16V,103,141,,,,
DAYCO,73277,Manguera,MANGUERA,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/73277.jpg,https://www.dayco.com/la-es/catalog/?search=73277,Refrigeración,COOLING HOSE,,16V,103,141,,,,
DAYCO,7828,Tensor genérico,TENSOR,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/7828.jpg,https://www.dayco.com/la-es/catalog/?search=7828,Auxiliar,TENSIONER&PULLEY,,16V,103,141,,,,
DAYCO,APV2260,Tensor auxiliar,TENSOR,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/APV2260.jpg,https://www.dayco.com/la-es/catalog/?search=APV2260,Auxiliar,TENSIONER&PULLEY,,16V,103,141,,,,
DAYCO,APV2914,Tensor auxiliar,TENSOR,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/APV2914.jpg,https://www.dayco.com/la-es/catalog/?search=APV2914,Auxiliar,TENSIONER&PULLEY,,16V,103,141,,,,
DAYCO,APV2915,Tensor auxiliar,TENSOR,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/APV2915.jpg,https://www.dayco.com/la-es/catalog/?search=APV2915,Auxiliar,TENSIONER&PULLEY,,16V,103,141,,,,
DAYCO,KTB812,Kit de distribución,KIT DISTRIBUCION,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/KTB812.jpg,https://www.dayco.com/la-es/catalog/?search=KTB812,Principal,TIMING BELT KIT,,16V,103,141,,,,
DAYCO,KTC1044,Kit cadena de distribución,KIT DISTRIBUCION,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/KTC1044.jpg,https://www.dayco.com/la-es/catalog/?search=KTC1044,Principal,CHAIN KIT,,16V,103,141,,,,
DAYCO,6PK1725,Correa Poly-V,CORREA POLY-V,TOYOTA,COROLLA,2009,Motor: 16V VVTI | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/6PK.jpg,https://www.dayco.com/la-es/catalog/?search=6PK1725,Auxiliar,POLY-V,,16V VVTI,103,141,,,,
DAYCO,6PK1230,Correa Poly-V,CORREA POLY-V,TOYOTA,COROLLA,2010,Motor: 16V VVTI | Versión:  | Gama: LD,1011685 (FORD) | 12065042180 (MERCEDES-BENZ) | 1650769 (FORD) | 46747484 (ALFA ROMEO) | 46747484 (FIAT) | 46747484 (LANCIA) | 46747485 (FIAT) | 85523462 (CHERY) | 88WF6C301A1A (FORD) | 90916-W2033 (TOYOTA) | 9091602664 (TOYOTA) | 90916W2018 (TOYOTA) | 9146899 (VOLVO) | 9771339850 (HYUNDAI) | 977133F000 (KIA) | 99366K1230 (TOYOTA) | A11-3701315 (CHERY),https://webcateu.dayco.ws/img/products/6PK.jpg,https://www.dayco.com/la-es/catalog/?search=6PK1230,Auxiliar,POLY-V,,16V VVTI,116,158,,,,
DAYCO,6PK1815,Correa Poly-V,CORREA POLY-V,TOYOTA,COROLLA FIELDER,2001,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/6PK.jpg,https://www.dayco.com/la-es/catalog/?search=6PK1815,Auxiliar,POLY-V,,16V,81,111,,,,
DAYCO,1188,Tensor genérico,TENSOR,TOYOTA,COROLLA FIELDER,2004-2008,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/1188.jpg,https://www.dayco.com/la-es/catalog/?search=1188,Auxiliar,TENSIONER&PULLEY,,16V,103,141,,,,
DAYCO,1313,Tensor genérico,TENSOR,TOYOTA,COROLLA FIELDER,2004-2008,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/1313.jpg,https://www.dayco.com/la-es/catalog/?search=1313,Auxiliar,TENSIONER&PULLEY,,16V,103,141,,,,
DAYCO,7828,Tensor genérico,TENSOR,TOYOTA,COROLLA FIELDER,2004-2008,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/7828.jpg,https://www.dayco.com/la-es/catalog/?search=7828,Auxiliar,TENSIONER&PULLEY,,16V,103,141,,,,
DAYCO,APV2260,Tensor auxiliar,TENSOR,TOYOTA,COROLLA FIELDER,2004-2008,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/APV2260.jpg,https://www.dayco.com/la-es/catalog/?search=APV2260,Auxiliar,TENSIONER&PULLEY,,16V,103,141,,,,
