codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente,titulo,categoria,boca_chica,boca_grande,largo,posicion,lado,dimensiones
10023,FUELLE,HYUNDAI / MITSUBISHI / NISSAN / RENAULT,KOLEOS / L200 / SANTA FE / TUCSON / X-TRAIL,09>14,FUELLE TRANSMISIÓN HYUNDAI SANTA FE (01…) - TUCSON (05…) / RENAULT KOLEOS (09-14) / MITSUBISHI L200 / NISSAN X TRAIL (14...) - | (CON LOBULOS),49542N0055,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10023-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10023/,SERRAT,Codigo: 10023,TRANSMISIÓN,29,93,102,CAJA,IZQ/DER,29 x 93 x 102
10024,FUELLE,NISSAN,FRONTIER / X-TRAIL,02>14,FUELLE TRANSMISIÓN NISSAN FRONTIER (02-14) - X TRAIL (14...) - (CON LOBULOS),3974105V086,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10024-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10024/,SERRAT,Codigo: 10024,TRANSMISIÓN,25,95,95,CAJA,IZQ/DER,25 x 95 x 95
10025,FUELLE,NISSAN,TIIDA,07>14,FUELLE TRANSMISIÓN NISSAN TIIDA (07-14) - | (CON LOBULOS ),C9741EL00A,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10025-4-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10025/,SERRAT,Codigo: 10025,TRANSMISIÓN,23,89,95,CAJA,IZQ/DER,23 x 89 x 95
10026,FUELLE,HONDA,CITY / NEW FIT,09>,FUELLE TRANSMISIÓN HONDA CITY (09…) - NEW FIT (10…) - | (CON LOBULOS),44017TJ0M01,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10026-3-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10026/,SERRAT,Codigo: 10026,TRANSMISIÓN,22,78,90,CAJA,IZQ/DER,22 x 78 x 90
10027,FUELLE,CITROËN / FIAT / JEEP / NISSAN / PEUGEOT / RENAULT,206 / 207 / 208 / 307 / C3 / FLUENCE / KICKS / RENEGADE / SENTRA / STRADA / TORO,99>13,FUELLE TRANSMISIÓN RENAULT FLUENCE (10…) - KWID (18…) / NISSAN SENTRA (91…) / PEUGEOT 206 (99-13) - 307 (01-12) - 207 (08…) - 208 (13…) / FIAT - STRADA (99...) - TORO 1.8 M/T (11...) / JEEP RENEGADE / CITROEN C3 (03…) - | (CON LOBULOS),7701209992 / C9741ET000,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10027-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10027/,SERRAT,Codigo: 10027,TRANSMISIÓN,27,75,95,CAJA,IZQ/DER,27 x 75 x 95
10029,FUELLE,TOYOTA,4RUNNER / HILUX / SW4,98>02,FUELLE TRANSMISIÓN TOYOTA HILUX SW4 (98-02) -4RUNNER (96...) - | (CON LOBULOS),04438-35040,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10029-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10029/,SERRAT,Codigo: 10029,TRANSMISIÓN,29,96,112,CAJA,IZQ/DER,29 x 96 x 112
10030,FUELLE,CHEVROLET,AVEO / COBALT / ONIX / PRISMA / SONIC / SPIN,13>,FUELLE TRANSMISIÓN CHEVROLET COBALT (13…) - ONIX (13…) - PRISMA (11…) - SONIC (12…) - SPIN (12…) - AVEO (08…) - | (CON LOBULOS),94760593,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10030-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10030/,SERRAT,Codigo: 10030,TRANSMISIÓN,23,80,97,CAJA,IZQ/DER,23 x 80 x 97
10031,FUELLE,RENAULT,MASTER III,13>,FUELLE TRANSMISIÓN RENAULT MASTER III (13…),392417848R,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10031-1.jpg,https://serratsrl.com.ar/producto/codigos-10031/,SERRAT,Codigo: 10031,TRANSMISIÓN,29,96,139,RUEDA,IZQ/DER,29 x 96 x 139
10032,FUELLE,RENAULT,MASTER III,13>,FUELLE TRANSMISIÓN RENAULT MASTER III (13…) - | (CON LOBULOS),7701209260,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10032-1.jpg,https://serratsrl.com.ar/producto/codigos-10032/,SERRAT,Codigo: 10032,TRANSMISIÓN,27,86,95,CAJA,IZQ/DER,27 x 86 x 95
10034,FUELLE,FIAT / NISSAN / RENAULT,DOBLO / IDEA / KICKS / KWID / LINEA / MARCH / MOBI / NOTE / PUNTO / QUBO / SENTRA / STILO,03>11,FUELLE TRANSMISIÓN FIAT DOBLO (10…) - LINEA (08…) - MOBI (14…) - IDEA (05…) - PUNTO (07…) - STILO (03-11) - QUBO (08...) / NISSAN KICKS (18…) - MARCH (12…) - NOTE (15…) - SENTRA (91…) / RENAULT KIND (18…) - | (CON LOBULOS),46306675,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10034-3-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10034/,SERRAT,Codigo: 10034,TRANSMISIÓN,22,78,83,CAJA,IZQ/DER,22 x 78 x 83
