codigo,producto,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,fuente,titulo,categoria,boca_chica,boca_grande,largo,posicion,lado,dimensiones
20013,FUELLE,08>,KIT DE TRANSMISIÓN CHEVROLET AVEO (08…) - | (CON LOBULOS),96489854,23 x 86 x 105,https://serratsrl.com.ar/wp-content/uploads/2024/06/20013.jpg,https://serratsrl.com.ar/producto/codigo-20013/,SERRAT,Código: 20013,TRANSMISIÓN,23,86,105,CAJA,IZQ/DER,
20014,FUELLE,08>,KIT DE TRANSMISIÓN CHEVROLET SPARK (08…) - | (CON LOBULOS),96396138,19 x 65 x 90,https://serratsrl.com.ar/wp-content/uploads/2024/06/20014tif.jpg,https://serratsrl.com.ar/producto/codigo-20014/,SERRAT,Código: 20014,TRANSMISIÓN,19,65,90,CAJA,IZQ/DER,
20015,FUELLE,07>,KIT DE TRANSMISIÓN RENAULT LOGAN I / II (07…) - SANDERO I / II (08…) - SYMBOL (07…),7701473830,44 x 86 x 86,https://serratsrl.com.ar/wp-content/uploads/2024/06/20015.jpg,https://serratsrl.com.ar/producto/codigo-20015/,SERRAT,Código: 20015,TRANSMISIÓN,44,86,86,CAJA,,
20016,FUELLE,94>12,KIT DE TRANSMISIÓN FORD MONDEO (94-12) - | (CON LOBULOS),98BX4A084FA,25 x 88 x 135,https://serratsrl.com.ar/wp-content/uploads/2024/06/20016.jpg,https://serratsrl.com.ar/producto/codigo-20016/,SERRAT,Código: 20016,TRANSMISIÓN,25,88,135,CAJA,IZQ/DER,
20017,FUELLE,10>,KIT DE TRANSMISIÓN VOLKSWAGEN. AMAROK (10…) - PASSAT (95…) - VENTO (06…),7L0498203,30 x 101 x 123,https://serratsrl.com.ar/wp-content/uploads/2024/06/20017.jpg,https://serratsrl.com.ar/producto/codigo-20017/,SERRAT,Código: 20017,TRANSMISIÓN,30,101,123,RUEDA,IZQ/DER,
20018,FUELLE,10>,KIT DE TRANSMISIÓN VOLKSWAGEN. AMAROK (10…) - PASSAT (95…) - VENTO (06…),7L0498201A,29 x 71 x 98,https://serratsrl.com.ar/wp-content/uploads/2024/06/20018-1.jpg,https://serratsrl.com.ar/producto/codigo-20018/,SERRAT,Código: 20018,TRANSMISIÓN,29,71,98,CAJA,IZQ/DER,
20019,FUELLE,10>,KIT DE TRANSMISION VOLKSWAGEN. AMAROK (10…) - PASSAT (95…) - VENTO (06…) - | (CON CHAPA),7L0422831A,29 x 71 x 111,https://serratsrl.com.ar/wp-content/uploads/2024/06/20019.jpg,https://serratsrl.com.ar/producto/codigo-20019/,SERRAT,Código: 20019,TRANSMISIÓN,29,71,111,CAJA,IZQ/DER,
20020,FUELLE,12>17,KIT DE TRANSMISIÓN RENAULT DUSTER (11…) - OROCH (17…) - FLUENCE (10…) - CAPTUR (17…) / MITSUBISHI L200 / FORD RANGER (12-17) - KUGA (10…) / V.W SHARAN (95-10) | 7701209830 / MB 896069,,27 x 88 x 102,https://serratsrl.com.ar/wp-content/uploads/2024/06/20020.jpg,https://serratsrl.com.ar/producto/codigo-20020/,SERRAT,Código: 20020,TRANSMISIÓN,27,88,102,RUEDA,IZQ/DER,
20021,FUELLE,11>,KIT DE TRANSMISIÓN RENAULT DUSTER (11…) - OROCH (17…) - CAPTUR (17…) - FLUENCE (10…),7701209238,23 x 75 x 95,https://serratsrl.com.ar/wp-content/uploads/2024/06/20021.jpg,https://serratsrl.com.ar/producto/codigo-20021/,SERRAT,Código: 20021,TRANSMISIÓN,23,75,95,CAJA,IZQ/DER,
20022,FUELLE,11>,KIT DE TRANSMISIÓN RENAULT DUSTER (11…) -OROCH (17…) - | (CON LOBULOS ),397411935R,27 x 85 x 102,https://serratsrl.com.ar/wp-content/uploads/2024/06/20022.jpg,https://serratsrl.com.ar/producto/codigo-20022/,SERRAT,Código: 20022,TRANSMISIÓN,27,85,102,CAJA,IZQ/DER,
20023,FUELLE,09>14,KIT DE TRANSMISIÓN HYUNDAI SANTA FE (01…) - TUCSON (05…) / RENAULT KOLEOS (09-14) / MITSUBISHI L200 / NISSAN X TRAIL (14...) - | (CON LOBULOS),49542N0055,29 x 93 x 102,https://serratsrl.com.ar/wp-content/uploads/2024/06/20023.jpg,https://serratsrl.com.ar/producto/codigo-20023/,SERRAT,Código: 20023,TRANSMISIÓN,29,93,102,CAJA,IZQ/DER,
20024,FUELLE,02>14,KIT DE TRANSMISIÓN NISSAN FRONTIER (02-14) - X TRAIL (14...) - | (CON LOBULOS),3974105V086,25 x 95 x 95,https://serratsrl.com.ar/wp-content/uploads/2024/06/20024.jpg,https://serratsrl.com.ar/producto/codigo-20024/,SERRAT,Código: 20024,TRANSMISIÓN,25,95,95,CAJA,IZQ/DER,
20025,FUELLE,07>14,KIT DE TRANSMISIÓN NISSAN TIIDA (07-14) - | (CON LOBULOS),C9741EL00A,23 x 89 x 95,https://serratsrl.com.ar/wp-content/uploads/2024/06/20025.jpg,https://serratsrl.com.ar/producto/codigo-20025/,SERRAT,Código: 20025,TRANSMISIÓN,23,89,95,CAJA,IZQ/DER,
20026,FUELLE,09>,KIT DE TRANSMISIÓN HONDA CITY (09…) - NEW FIT (10…) - | (CON LOBULOS),44017TJ0M01,22 x 78 x 90,https://serratsrl.com.ar/wp-content/uploads/2024/06/20026.jpg,https://serratsrl.com.ar/producto/codigo-20026/,SERRAT,Código: 20026,TRANSMISIÓN,22,78,90,CAJA,IZQ/DER,
20027,FUELLE,99>13,KIT DE TRANSMISIÓN RENAULT FLUENCE (10…) / NISSAN SENTRA (91…) / PEUGEOT 206 (99-13) - 307 (01-12) - 207 (08…) - 208 (13…) / FIAT - STRADA (99...) - TORO 1.8 M/T (11...) / JEEP RENEGADE / CITROEN C3 (03…) - | (CON LOBULOS) | 7701209992 / C9741ET000,,27 x 75 x 95,https://serratsrl.com.ar/wp-content/uploads/2024/06/20027.jpg,https://serratsrl.com.ar/producto/codigo-20027/,SERRAT,Código: 20027,TRANSMISIÓN,27,75,95,CAJA,IZQ/DER,
20028,FUELLE,96>12,KIT DE TRANSMISION FORD RANGER (96-12) - | (CON CHAPA),,24 x 108 x 105,https://serratsrl.com.ar/wp-content/uploads/2024/06/20028.jpg,https://serratsrl.com.ar/producto/codigo-20028/,SERRAT,Código: 20028,TRANSMISIÓN,24,108,105,CARDAN,,
20029,FUELLE,98>02,KIT DE TRANSMISIÓN TOYOTA HILUX SW4 (98-02) - 4RUNNER (96...) - | (CON LOBULOS),04438-35040,29 x 96 x 112,https://serratsrl.com.ar/wp-content/uploads/2024/06/20029.jpg,https://serratsrl.com.ar/producto/codigo-20029/,SERRAT,Código: 20029,TRANSMISIÓN,29,96,112,CAJA,IZQ/DER,
20030,FUELLE,13>,KIT DE TRANSMISIÓN CHEVROLET COBALT (13…) - ONIX (13…) - PRISMA (11…) - SONIC (12…) - SPIN (12…) - AVEO (08…) - | (CON LOBULOS),94760593,23 x 80 x 97,https://serratsrl.com.ar/wp-content/uploads/2024/06/20030.jpg,https://serratsrl.com.ar/producto/codigo-20030/,SERRAT,Código: 20030,TRANSMISIÓN,23,80,97,CAJA,IZQ/DER,
20031,FUELLE,13>,KIT DE TRANSMISIÓN RENAULT MASTER III (13…),392417848R,29 x 96 x 139,https://serratsrl.com.ar/wp-content/uploads/2024/06/20031.jpg,https://serratsrl.com.ar/producto/codigo-20031/,SERRAT,Código: 20031,TRANSMISIÓN,29,96,139,RUEDA,IZQ/DER,
20032,FUELLE,13>,KIT DE TRANSMISIÓN RENAULT MASTER III (13…) - | (CON LOBULOS),7701209260,27 x 86 x 95,https://serratsrl.com.ar/wp-content/uploads/2024/06/20032.jpg,https://serratsrl.com.ar/producto/codigo-20032/,SERRAT,Código: 20032,TRANSMISIÓN,27,86,95,CAJA,IZQ/DER,
20033,FUELLE,99>12,KIT DE TRANSMISIÓN RENAULT MASTER (99-12) - | (CON CHAPA),7701470910,23 x 82 x 190,https://serratsrl.com.ar/wp-content/uploads/2024/06/20033.jpg,https://serratsrl.com.ar/producto/codigo-20033/,SERRAT,Código: 20033,TRANSMISIÓN,23,82,190,CAJA,DER,
20034,FUELLE,03>11,KIT DE TRANSMISIÓN FIAT DOBLO (10…) - LINEA (08…) - MOBI (14…) - IDEA (05…) - PUNTO (07…) - STILO (03-11) - QUBO (08...) / NISSAN KICKS (18…) - MARCH (12…) - NOTE (15…) - SENTRA (91…) / RENAULT KIND (18…) - | (CON LOBULOS),46306675,22 x 77 x 83,https://serratsrl.com.ar/wp-content/uploads/2024/06/20034.jpg,https://serratsrl.com.ar/producto/codigo-20034/,SERRAT,Código: 20034,TRANSMISIÓN,22,77,83,CAJA,IZQ/DER,
20035,FUELLE,96>,KIT DE TRANSMISIÓN CITROEN JUMPER (96…) / PEUGEOT BOXER (96…) / FIAT DUCATO (99...),9623535380,35 x 110 x 167,https://serratsrl.com.ar/wp-content/uploads/2024/06/20035.jpg,https://serratsrl.com.ar/producto/codigo-20035/,SERRAT,Código: 20035,TRANSMISIÓN,35,110,167,RUEDA,IZQ/DER,
20036,FUELLE,96>,KIT DE TRANSMISIÓN CITROEN JUMPER (96…) / PEUGEOT BOXER (96…) / FIAT DUCATO (99...) | 1400223080 / 9564479588,,33 x 86 x 88,https://serratsrl.com.ar/wp-content/uploads/2024/06/20036.jpg,https://serratsrl.com.ar/producto/codigo-20036/,SERRAT,Código: 20036,TRANSMISIÓN,33,86,88,CAJA,IZQ/DER,
20037,FUELLE,04>,KIT DE TRANSMISIÓN VOLKSWAGEN FOX-CROSSFOX (04…) - SURAN (04…) - GOL TREND (13…) - GOLF (00…) POLO 1.6 (17…) - VIRTUS 1.6 (17…) - VOYAGE (04…),1H040407283C,33 x 86 x 88,https://serratsrl.com.ar/wp-content/uploads/2024/06/20037.jpg,https://serratsrl.com.ar/producto/codigo-20037/,SERRAT,Código: 20037,TRANSMISIÓN,33,86,88,CAJA,IZQ/DER,
20038,FUELLE,04>,KIT DE TRANSMISION VOLKSWAGEN FOX-CROSSFOX (04…) - SURAN (04…) - GOL TREND (13…) - GOLF (00…) - POLO 1.6 (17…) - VIRTUS 1.6 (17…) - VOYAGE (04…) - | (CON CHAPA),1H040407283C,26 x 101 x 114,https://serratsrl.com.ar/wp-content/uploads/2024/06/20038.jpg,https://serratsrl.com.ar/producto/codigo-20038/,SERRAT,Código: 20038,TRANSMISIÓN,26,101,114,CAJA,IZQ/DER,
20039,FUELLE,13>,KIT DE TRANSMISIÓN TOYOTA ETIOS (13…) - | (CON LOBULOS),044270D330,20 x 72 x 92,https://serratsrl.com.ar/wp-content/uploads/2024/06/20039.jpg,https://serratsrl.com.ar/producto/codigo-20039/,SERRAT,Código: 20039,TRANSMISIÓN,20,72,92,CAJA,IZQ/DER,
20041,FUELLE,99>13,KIT DE TRANSMISIÓN PEUGEOT 206 (99-13) - 307 (01-12) / CITROEN C3 (03…) - | (CON LOBULOS),3287A1,33 x 70 x 98,https://serratsrl.com.ar/wp-content/uploads/2024/06/20041.jpg,https://serratsrl.com.ar/producto/codigo-20041/,SERRAT,Código: 20041,TRANSMISIÓN,33,70,98,CAJA,IZQ/DER,
20042,FUELLE,14>,KIT DE TRANSMISIÓN VOLKSWAGEN UP (14…) / HYUNDAI HB20 1.0 L/1.6 L (12…) / RENAULT KIND (18…) - TOYOTA YARIS (07…),1SB498203,21 x 72 x 94,https://serratsrl.com.ar/wp-content/uploads/2024/06/20042.jpg,https://serratsrl.com.ar/producto/codigo-20042/,SERRAT,Código: 20042,TRANSMISIÓN,21,72,94,RUEDA,IZQ/DER,
20043,FUELLE,12>,KIT DE TRANSMISIÓN HYUNDAI HB20 (12...) - | (CON LOBULOS),10267467,21 x 56 x 98,https://serratsrl.com.ar/wp-content/uploads/2024/06/20043.jpg,https://serratsrl.com.ar/producto/codigo-20043/,SERRAT,Código: 20043,TRANSMISIÓN,21,56,98,CAJA,IZQ/DER,
20044,FUELLE,14>,KIT DE TRANSMISIÓN VOLKSWAGEN UP (14…) - TOYOTA YARIS (07…) - | (CON LOBULOS),1SB498201,23 x 73 x 90,https://serratsrl.com.ar/wp-content/uploads/2024/06/20044.jpg,https://serratsrl.com.ar/producto/codigo-20044/,SERRAT,Código: 20044,TRANSMISIÓN,23,73,90,CAJA,IZQ/DER,
20045,FUELLE,06>15,KIT DE TRANSMISIÓN FORD FOCUS (12...) - FIESTAS (12…) - ECOSPORT (12…) - S MAX (06-15) - | (CON LOBULOS),XS4J4A084GC,23 x 75 x 89,https://serratsrl.com.ar/wp-content/uploads/2024/06/20045.jpg,https://serratsrl.com.ar/producto/codigo-20045/,SERRAT,Código: 20045,TRANSMISIÓN,23,75,89,CAJA,IZQ/DER,
20046,FUELLE,12>17,KIT DE TRANSMISIÓN FORD RANGER (12-17) - KUGA (10…) - FIAT TORO 2.0 M/T - A/T - | (CON LOBULOS),AB39-3C290-CA,29 x 92 x 128,https://serratsrl.com.ar/wp-content/uploads/2024/06/20046.jpg,https://serratsrl.com.ar/producto/codigo-20046/,SERRAT,Código: 20046,TRANSMISIÓN,29,92,128,CAJA,IZQ/DER,
20047,FUELLE,10>,KIT DE TRANSMISIÓN CHEVROLET CRUZE (10…) - TRACKER (13…) - CAPTIVA (96) - | (CON LOBULOS),26138130,26 x 82 x 101,https://serratsrl.com.ar/wp-content/uploads/2024/06/20047.jpg,https://serratsrl.com.ar/producto/codigo-20047/,SERRAT,Código: 20047,TRANSMISIÓN,26,82,101,CAJA,IZQ/DER,
20048,FUELLE,99>,KIT DE TRANSMISIÓN FIAT DUCATO (99…) - | (CON LOBULOS),71771168,28 x 94 x 94,https://serratsrl.com.ar/wp-content/uploads/2024/06/20048.jpg,https://serratsrl.com.ar/producto/codigo-20048/,SERRAT,Código: 20048,TRANSMISIÓN,28,94,94,CAJA,IZQ/DER,
20049,FUELLE,16>,KIT DE TRANSMISIÓN TOYOTA COROLLA (16...) - | (CON LOBULOS),,22 x 78 x 80,https://serratsrl.com.ar/wp-content/uploads/2024/06/20049.jpg,https://serratsrl.com.ar/producto/codigo-20049/,SERRAT,Código: 20049,TRANSMISIÓN,22,78,80,CAJA,IZQ/DER,
20050,FUELLE,12>,KIT DE TRANSMISIÓN PEUGEOT EXPERT (12…) - | (CON LOBULOS),,30 x 90 x 90,https://serratsrl.com.ar/wp-content/uploads/2024/06/20050-1.jpg,https://serratsrl.com.ar/producto/codigo-20050/,SERRAT,Código: 20050,TRANSMISIÓN,30,90,90,CAJA,DER,
20051,FUELLE,16>,KIT DE TRANSMISIÓN FORD KA (16…) / CHERY QQ,3B5-4A084-AA,23 x 70 x 111,https://serratsrl.com.ar/wp-content/uploads/2024/06/20051.jpg,https://serratsrl.com.ar/producto/codigo-20051/,SERRAT,Codigo: 20051,TRANSMISIÓN,23,70,111,RUEDA,IZQ/DER,
20053,FUELLE,17>,KIT DE TRANSMISIÓN TOYOTA HILUX (17…) - 4RUNNER (96...) / NISSAN MURANO - X TRAIL (14...) - | (CON LOBULOS),04427OKO50,28 x 97 x 98,https://serratsrl.com.ar/wp-content/uploads/2024/06/20053.jpg,https://serratsrl.com.ar/producto/codigo-20053/,SERRAT,Código: 20053,TRANSMISIÓN,28,97,98,CAJA,IZQ/DER,
20054,FUELLE,99>13,KIT DE TRANSMISIÓN PEUGEOT 207 - 208 (13...) - PARTNER (11…) - 206 (99-13) - | (CON LOBULOS),,24 x 75 x 90,https://serratsrl.com.ar/wp-content/uploads/2024/06/20054-1.jpg,https://serratsrl.com.ar/producto/codigo-20054/,SERRAT,Codigo: 20054,TRANSMISIÓN,24,75,90,CAJA,IZQ/DER,
20055,FUELLE,02>,KIT DE TRANSMISIÓN TOYOTA COROLLA (02…) - | (CON LOBULOS),,23 x 83 x 100,https://serratsrl.com.ar/wp-content/uploads/2024/06/20055.jpg,https://serratsrl.com.ar/producto/codigo-20055/,SERRAT,Codigo: 20055,TRANSMISIÓN,23,83,100,CAJA,IZQ/DER,
20056,FUELLE,95>10,KIT DE TRANSMISIÓN TOYOTA RAV4 (94... ) - V.W SHARAN (95-10) - | (CON LOBULOS),,28 x 92 x 115,https://serratsrl.com.ar/wp-content/uploads/2024/06/20056.jpg,https://serratsrl.com.ar/producto/codigo-20056/,SERRAT,Código: 20056,TRANSMISIÓN,28,92,115,CAJA,IZQ/DER,
20057,FUELLE,20>,KIT DE TRANSMISIÓN V.W NIVUS (20…) - T-CROSS (20…) | - (CON LOBULOS),2QB407283E,25 x 84 x 120,https://serratsrl.com.ar/wp-content/uploads/2024/06/20057.jpg,https://serratsrl.com.ar/producto/codigo-20057/,SERRAT,Codigo: 20057,TRANSMISIÓN,25,84,120,CAJA,IZQ/DER,
20058,FUELLE,12>,KIT DE TRANSMISION FORD RANGER (12...) - | (CARDAN),2860052,29 x 62 x 120,https://serratsrl.com.ar/wp-content/uploads/2024/06/20058.jpg,https://serratsrl.com.ar/producto/codigo-20058/,SERRAT,Codigo: 20058,TRANSMISIÓN,29,62,120,CARDAN,,
20059,FUELLE,,KIT DE TRANSMISION CHERY QQ (TODOS LOS MODELOS) - | (CON LOBULOS),IM30571,24 x 75 x 80,https://serratsrl.com.ar/wp-content/uploads/2024/06/20059.jpg,https://serratsrl.com.ar/producto/codigo-20059/,SERRAT,Codigo: 20059,TRANSMISIÓN,24,75,80,CAJA,IZQ/DER,
20060,FUELLE,85>97,KIT DE TRANSMISIÓN RENAULT R9 (85-97) - R11 (85-95),7701348568,29 x 92 x 130,https://serratsrl.com.ar/wp-content/uploads/2024/06/20060.jpg,https://serratsrl.com.ar/producto/codigo-20060/,SERRAT,Codigo: 20060,TRANSMISIÓN,29,92,130,RUEDA,IZQ/DER,
20080,FUELLE,85>97,KIT DE TRANSMISIÓN RENAULT R9 (85-97) - R11 (85-95),7701462101,30 x 84 x 106,https://serratsrl.com.ar/wp-content/uploads/2024/06/20080-1.jpg,https://serratsrl.com.ar/producto/codigo-20080/,SERRAT,Codigo: 20080,TRANSMISIÓN,30,84,106,CAJA,IZQ/DER,
20100,FUELLE,85>97,KIT TRANSMISIÓN RENAULT R9 (85-97) - R11 (85-95) - R19 (88-00) - CLIO ( 91-99) - LAGUNA (93-02) - EXPRESS (91-03) - KANGOO (99-07) - MEGANE I/II (97-09) - SCENIC (98-02) - TWINGO (94-03),7701348568,28 x 92 x 81,https://serratsrl.com.ar/wp-content/uploads/2024/06/20100-25-2.jpg,https://serratsrl.com.ar/producto/codigo-20100/,SERRAT,Codigo: 20100,TRANSMISIÓN,28,92,81,CAJA,,
20101,FUELLE,85>97,KIT DE TRANSMISION RENAULT R9 (85-97) - R11 (85-95) - R19 (88-00) - CLIO ( 91-99) - EXPRESS (91-03) - LAGUNA (93-02) - MEGANE I/II (97-09) - SCENIC (98-02) - KANGOO (99-07) - TWINGO (94-03) - | (CON REFUERZO METALICO),7701468575,29 x 92 x 81,https://serratsrl.com.ar/wp-content/uploads/2024/06/20100-25-2.jpg,https://serratsrl.com.ar/producto/codigo-20101/,SERRAT,Codigo: 20101,TRANSMISIÓN,29,92,81,CAJA,IZQ,
20102,FUELLE,93>02,KIT DE TRANSMISION RENAULT CLIO II (00...) - KANGOO II / KANGOO III (08…) - LAGUNA II (93-02) - MASTER ( 99-12) - MEGANE III (10…) - SCENIC II (02-12),77014466083,43 x 89 x 85,https://serratsrl.com.ar/wp-content/uploads/2024/06/KIT-TRANSMISION_-20102-3-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-20102/,SERRAT,Código: 20102,TRANSMISIÓN,43,89,85,CAJA,IZQ,
20103,FUELLE,93>02,KIT DE TRANSMISION RENAULT CLIO II (00...) - KANGOO II / KANGOO III (08…) - LAGUNA II (93-02) - MASTER ( 99-12) - MEGANE III (10…) - SCENIC II (02-12) - | (CON REFUERZO METALICO ),77014466083,43 x 89 x 85,https://serratsrl.com.ar/wp-content/uploads/2024/06/KIT-TRANSMISION_-20102-3-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-20103/,SERRAT,Codigo: 20103,TRANSMISIÓN,43,89,85,CAJA,IZQ,
20130,FUELLE,61>84,KIT DE TRANSMISIÓN RENAULT R4 - 4L - R6 (61-84) - (CON CRUCETAS) - R6 (CON HOMOCINETICA) - (82-92) -R12 CON TRICETA 4 VEL.(...81) - R12 (CON HOMOCINETICA) 4 VEL. (82-86),77010-00986,60 x 60 x 131,https://serratsrl.com.ar/wp-content/uploads/2024/06/20130.jpg,https://serratsrl.com.ar/producto/codigo-20130/,SERRAT,Código: 20130,TRANSMISIÓN,60,60,131,CAJA,IZQ/DER,
20140,FUELLE,88>00,KIT DE TRANSMISIÓN RENAULT R12 CON TRICETA 4 VEL. (...81) - R19 (88-00) - CLIO (91-00) - EXPRESS (91-02) - KANGOO (98-02) - TWINGO (94-03),7701450617,19 x 85 x 120,https://serratsrl.com.ar/wp-content/uploads/2024/06/20140.jpg,https://serratsrl.com.ar/producto/codigo-20140/,SERRAT,Código: 20140,TRANSMISIÓN,19,85,120,CAJA,DER,
20150,FUELLE,,KIT DE TRANSMISIÓN RENAULT R12 (CON TRICETA) 4 VEL. (...81),7701200694,24 x 80 x 120,https://serratsrl.com.ar/wp-content/uploads/2024/06/20150.jpg,https://serratsrl.com.ar/producto/codigo-20150/,SERRAT,Código: 20150,TRANSMISIÓN,24,80,120,RUEDA,IZQ/DER,
20170,FUELLE,,KIT DE TRANSMISIÓN RENAULT R12 (CON TRICETA) 4 VEL. (...81),7701463766,22 x 84 x 138,https://serratsrl.com.ar/wp-content/uploads/2024/06/20170.jpg,https://serratsrl.com.ar/producto/codigo-20170/,SERRAT,Codigo: 20170,TRANSMISIÓN,22,84,138,RUEDA,DER,
20190,FUELLE,82>92,KIT DE TRANSMISIÓN RENAULT R6 (CON HOMOCINETICA) (82-92) - R9 (85-97) - R11 (85-95) R12 CON HOMOCINETICA 4 VEL. (82-86) - R12 (CON HOMOCINETICA) 5 VEL. (87-95) - R18 (…93),7701200922,22 x 79 x 121,https://serratsrl.com.ar/wp-content/uploads/2024/06/20190.jpg,https://serratsrl.com.ar/producto/codigo-20190/,SERRAT,Codigo: 20190,TRANSMISIÓN,22,79,121,RUEDA,IZQ/DER,
20205,FUELLE,85>97,KIT DE TRANSMISIÓN RENAULT R9 (85-97) - R11 (85-95) - R12 (CON HOMOCINETICA) 5 VEL. (87-95),7701202350,30 x 66 x 122,https://serratsrl.com.ar/wp-content/uploads/2024/06/20205-20207.jpg,https://serratsrl.com.ar/producto/codigo-20205/,SERRAT,Codigo: 20205,TRANSMISIÓN,30,66,122,CAJA,IZQ/DER,
20207,FUELLE,87>95,KIT DE TRANSMISIÓN RENAULT R12 (CON TRICETA) 4 VEL. (...81) - R12 (CON HOMOCINETICA) 5 VEL. (87-95),7701202350,19 x 66 x 122,https://serratsrl.com.ar/wp-content/uploads/2024/06/20205-20207.jpg,https://serratsrl.com.ar/producto/codigo-20207/,SERRAT,Codigo: 20207,TRANSMISIÓN,19,66,122,CAJA,DER,
20210,FUELLE,85>97,KIT DE TRANSMISION RENAULT R9 (85-97) - R11 (85-95) - R12 (CON HOMOCINETICA) 5 VEL. (87-95) - | (CON CHAPA),7701202350,30 x 70 x 175,https://serratsrl.com.ar/wp-content/uploads/2024/06/20210.jpg,https://serratsrl.com.ar/producto/codigo-20210/,SERRAT,Codigo: 20210,TRANSMISIÓN,30,70,175,CAJA,IZQ/DER,
20220,FUELLE,,KIT DE TRANSMISIÓN RENAULT R18 (…93),7701021452,24 x 86 x 125,https://serratsrl.com.ar/wp-content/uploads/2024/06/20220.jpg,https://serratsrl.com.ar/producto/codigo-20220/,SERRAT,Codigo: 20220,TRANSMISIÓN,24,86,125,RUEDA,DER,
20240,FUELLE,86>97,KIT DE TRANSMISIÓN RENAULT R18 (…93) - R21 (86-97) - TRAFIC 1.4 (…89) - TRAFIC 2.0 (…89) - TRAFIC 2.0 (90-03) / MERECEDEZ BENZ MB180,7701464758,23 x 75 x 120,https://serratsrl.com.ar/wp-content/uploads/2024/06/20240.jpg,https://serratsrl.com.ar/producto/codigo-20240/,SERRAT,Codigo: 20240,TRANSMISIÓN,23,75,120,CAJA,IZQ/DER,
20241,FUELLE,86>97,KIT DE TRANSMISION RENAULT R18 (…95) - R21 (86-97) - TRAFIC 1.4 (…89) - TRAFIC 2.0 (…89) - TRAFIC 2.0 (90-03) - | (CON CHAPA),7701464758,23 x 76 x 180,https://serratsrl.com.ar/wp-content/uploads/2024/06/20241.jpg,https://serratsrl.com.ar/producto/codigo-20241/,SERRAT,Codigo: 20241,TRANSMISIÓN,23,76,180,CAJA,IZQ/DER,
20242,FUELLE,90>03,KIT DE TRANSMISIÓN RENAULT R18 (...93) - TRAFIC (90-03),7701463586,33 x 79 x 122,https://serratsrl.com.ar/wp-content/uploads/2024/06/20242.jpg,https://serratsrl.com.ar/producto/codigo-20242/,SERRAT,Código: 20242,TRANSMISIÓN,33,79,122,CAJA,IZQ/DER,
20243,FUELLE,90>03,KIT DE TRANSMISION RENAULT R18 (...93) - TRAFIC (90-03) - | (CON CHAPA),7701463586,33 x 75 x 180,https://serratsrl.com.ar/wp-content/uploads/2024/06/20243.jpg,https://serratsrl.com.ar/producto/codigo-20243/,SERRAT,Codigo: 20243,TRANSMISIÓN,33,75,180,CAJA,IZQ/DER,
20295,FUELLE,91>97,KIT DE TRANSMISIÓN CHEVROLET ASTRA (96...) - KADETT (91-97) - VECTRA (94…) / FIAT TEMPRA (92-98) - TIPO (92-98) - MAREA (98-07) / RENAULT R18 (…93) - FUEGO (80-95) - TRAFIC (90-03) | 7701464775 / 82462961 / 91125491,,23 x 86 x 82,https://serratsrl.com.ar/wp-content/uploads/2024/06/20295.jpg,https://serratsrl.com.ar/producto/codigo-20295/,SERRAT,Codigo: 20295,TRANSMISIÓN,23,86,82,RUEDA,IZQ/DER,
20297,FUELLE,96>03,KIT DE TRANSMISIÓN FORD ESCORT (96-03) - GALAXY (92-96) - KA (97-14) - ORION (93-97) / RENAULT R21 (86-97) / VOLKSWAGEN GOL (91...) - GOL CONTRY (97-11) - GOLF (94-99) - POINTER (94-97) - POLO (96-10) - QUANTUM (91-00) - SANTANA (03-07) - SAVEIRO (96…) - VOYAGE (04…) | 7701035088 / 547407285 / 337498203,,21 x 85 x 85,https://serratsrl.com.ar/wp-content/uploads/2024/06/20297.jpg,https://serratsrl.com.ar/producto/codigo-20297/,SERRAT,Codigo: 20297,TRANSMISIÓN,21,85,85,RUEDA,IZQ/DER,
20300,FUELLE,,KIT DE TRANSMISIÓN RENAULT TRAFIC 2.0 (...89),7701201810,25 x 95 x 1324,https://serratsrl.com.ar/wp-content/uploads/2024/06/20300.jpg,https://serratsrl.com.ar/producto/codigo-20300/,SERRAT,Codigo: 20300,TRANSMISIÓN,25,95,1324,RUEDA,IZQ/DER,
20320,FUELLE,,KIT DE TRANSMISIÓN RENAULT TRAFIC 1.4 (...89),7701202237,23 x 86 x 128,https://serratsrl.com.ar/wp-content/uploads/2024/06/20320.jpg,https://serratsrl.com.ar/producto/codigo-20320/,SERRAT,Codigo: 20320,TRANSMISIÓN,23,86,128,RUEDA,IZQ/DER,
20322,FUELLE,,KIT DE TRANSMISIÓN MERCEDES BENZ MB 180 - (TODOS LOS MODELOS),AG6313300185,23 x 86 x 128,https://serratsrl.com.ar/wp-content/uploads/2024/06/20322.jpg,https://serratsrl.com.ar/producto/codigo-20322/,SERRAT,Codigo: 20322,TRANSMISIÓN,23,86,128,RUEDA,DER,
