codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente
1213,BIELETA,FIAT,ARGO,2001 2007 2008 2010,DEL | IZQ/DER | linea 2007/.. - stilo 2001/2010 - qubo 2008/.. - cronos | bieleta delantera - linea 2007/.. - stilo 2001/2010 - qubo 2008/.. - cronos izq - der,508070508765,,508070508765,BIELETA | DEL | IZQ/DER | bieleta delantera - linea 2007/.. - stilo 2001/2010 - qubo 2008/.. - cronos izq - der,https://www.tamarit.com.ar/image/productos/991213.jpg,https://www.tamarit.com.ar/image/productos/991213.jpg,VTH
5944,BUJE DE PARRILLA,FIAT,ARGO,,fiat palio/siena/ uno/ mobi / cronos / argo / -palio-fase-2 / palio-fase-3 / fiorino-xmf | NUEVO | buje parrilla fiat palio/siena/nuevo uno/ mobi / cronos / argo / nuevo-palio-fase-2 / nuevo palio-fase-3 / fiorino-xmf,46421522,,46421522,BUJE DE PARRILLA | buje parrilla fiat palio/siena/nuevo uno/ mobi / cronos / argo / nuevo-palio-fase-2 / nuevo palio-fase-3 / fiorino-xmf,https://www.tamarit.com.ar/image/productos/995944.jpg,https://www.tamarit.com.ar/image/productos/995944.jpg,VTH
5973,CAZOLETA,FIAT,ARGO,,TRAS | amortiguador completa fiat palio-siena/ uno - mobi - argo- -palio-fase-2 - -palio-fase-3 | NUEVO | cazoleta amortiguador trasera completa fiat palio-siena/nuevo uno - mobi - argo- nuevo-palio-fase-2 - nuevo-palio-fase-3,46464273,,46464273,CAZOLETA | TRAS | cazoleta amortiguador trasera completa fiat palio-siena/nuevo uno - mobi - argo- nuevo-palio-fase-2 - nuevo-palio-fase-3,https://www.tamarit.com.ar/image/productos/995973.jpg,https://www.tamarit.com.ar/image/productos/995973.jpg,VTH
5995,CAZOLETA,FIAT,ARGO,,DEL | susp. fiat uno / palio (326) / gran siena / mobi / cronos / argo / fiorino-xmf | NUEVO | cazoleta susp. delantera fiat nuevo uno /nuevo palio (326) / gran siena / mobi / cronos / argo / fiorino-xmf,51833942,,51833942,CAZOLETA | DEL | cazoleta susp. delantera fiat nuevo uno /nuevo palio (326) / gran siena / mobi / cronos / argo / fiorino-xmf,https://www.tamarit.com.ar/image/productos/995995.jpg,https://www.tamarit.com.ar/image/productos/995995.jpg,VTH
9110,BUJE DE PARRILLA,FIAT,ARGO,,DEL | parte fiat cronos - argos | buje parrilla delantera parte trasera fiat cronos - argos,800006654,,800006654,BUJE DE PARRILLA | DEL | buje parrilla delantera parte trasera fiat cronos - argos,https://www.tamarit.com.ar/image/productos/999110.jpg,https://www.tamarit.com.ar/image/productos/999110.jpg,VTH
9191,BUJE EJE TRASERO,FIAT,ARGO,,TRAS | buje eje fiat argos/cronos/ bravo/gran siena/ mobi/ palio/punto/ -palio-326 | NUEVO | buje eje trasero fiat argos/cronos/ bravo/gran siena/ mobi/ palio/punto/ nuevo-palio-326,52022845,,52022845,BUJE EJE TRASERO | TRAS | buje eje trasero fiat argos/cronos/ bravo/gran siena/ mobi/ palio/punto/ nuevo-palio-326,https://www.tamarit.com.ar/image/productos/999191.jpg,https://www.tamarit.com.ar/image/productos/999191.jpg,VTH
9296,BUJE DE BARRA ESTABILIZADORA,FIAT,ARGO,,DEL | BARRA ESTABIL buje barra estabilizadora fiat cronos argos | BARRA ESTABIL buje barra estabilizadora delantera fiat cronos argos,BUJE,,BUJE,BUJE DE BARRA ESTABILIZADORA | DEL | BARRA ESTABIL buje barra estabilizadora delantera fiat cronos argos,https://www.tamarit.com.ar/image/productos/999296.jpg,https://www.tamarit.com.ar/image/productos/999296.jpg,VTH
9301,SOPORTE DE MOTOR,FIAT,ARGO,2017,TRAS | caja automatica fiat argo 2017/.. - cronos 2017/.. | soporte de motor trasero caja automatica fiat argo 2017/.. - cronos 2017/..,52045706,,52045706,SOPORTE DE MOTOR | TRAS | soporte de motor trasero caja automatica fiat argo 2017/.. - cronos 2017/..,,,VTH
9307,SOPORTE DE MOTOR,FIAT,ARGO,2017,TRAS | fiat argo 2017/.. - cronos 2017/.. motor 1.3 | soporte de motor trasero fiat argo 2017/.. - cronos 2017/.. motor 1.3,52083762,,52083762,SOPORTE DE MOTOR | TRAS | soporte de motor trasero fiat argo 2017/.. - cronos 2017/.. motor 1.3,https://www.tamarit.com.ar/image/productos/999307.jpg,https://www.tamarit.com.ar/image/productos/999307.jpg,VTH
9602,FUELLE,FIAT,ARGO,,lado caja uno / palio / siena / duna 95/. argo cronos -uno. para abrazadera - apto maquina montadora | NUEVO | fuelle lado caja uno / palio / siena / duna 95/. argo cronos nuevo-uno. para abrazadera - apto maquina montadora,7625541,,7625541,FUELLE | fuelle lado caja uno / palio / siena / duna 95/. argo cronos nuevo-uno. para abrazadera - apto maquina montadora,https://www.tamarit.com.ar/image/productos/999602.jpg,https://www.tamarit.com.ar/image/productos/999602.jpg,VTH
1217,BIELETA,FIAT,BRAVA-1999/2003,1999 2002 2003 2005 2008,DEL | IZQ/DER | fiesta 2002/2008 fiesta one 2005 - fiat brava-1999/2003 marea | bieleta delantera fiesta 2002/2008 fiesta one 2005 izq - der fiat brava-1999/2003 marea,Y125613B438AC,,Y125613B438AC,BIELETA | DEL | IZQ/DER | bieleta delantera fiesta 2002/2008 fiesta one 2005 izq - der fiat brava-1999/2003 marea,https://www.tamarit.com.ar/image/productos/991217.jpg,https://www.tamarit.com.ar/image/productos/991217.jpg,VTH
9047,BUJE,FIAT,BRAVA-1999/2003,1997 1998 1999 2003 2008,DEL | de suspension fiat palio-weekend-1997/.. brava-1999/2003 marea-1998/2008 | buje delantero de suspension trasera fiat palio-weekend-1997/.. brava-1999/2003 marea-1998/2008,7779884,,7779884,BUJE | DEL | buje delantero de suspension trasera fiat palio-weekend-1997/.. brava-1999/2003 marea-1998/2008,https://www.tamarit.com.ar/image/productos/999047.jpg,https://www.tamarit.com.ar/image/productos/999047.jpg,VTH
9048,BUJE EJE TRASERO,FIAT,BRAVA-1999/2003,1997 1998 1999 2003 2008,TRAS | de suspension fiat palio-weekend-1997/.. brava-1999/2003 marea 1998/2008 | buje trasero de suspension trasera fiat palio-weekend-1997/.. brava-1999/2003 marea 1998/2008,7658279,,7658279,BUJE EJE TRASERO | TRAS | buje trasero de suspension trasera fiat palio-weekend-1997/.. brava-1999/2003 marea 1998/2008,https://www.tamarit.com.ar/image/productos/999048.jpg,https://www.tamarit.com.ar/image/productos/999048.jpg,VTH
1216,BIELETA,FIAT,BRAVO,2008 2013,DEL | IZQ/DER | fiat 500 2008/.. - bravo 2013/.. | bieleta delantera fiat 500 2008/.. - bravo 2013/.. izq - der,51801136,,51801136,BIELETA | DEL | IZQ/DER | bieleta delantera fiat 500 2008/.. - bravo 2013/.. izq - der,https://www.tamarit.com.ar/image/productos/991216.jpg,https://www.tamarit.com.ar/image/productos/991216.jpg,VTH
5863,CAZOLETA,FIAT,BRAVO,,suspension fiat marea/ bravo | cazoleta suspension fiat marea/ bravo,46469709,,46469709,CAZOLETA | cazoleta suspension fiat marea/ bravo,https://www.tamarit.com.ar/image/productos/995863.jpg,https://www.tamarit.com.ar/image/productos/995863.jpg,VTH
5871,BUJE DE PARRILLA,FIAT,BRAVO,,"DEL | central diam 20,9mm fiat tipo1.6 y 2.0/fiat bravo/alfa145/146/155/164/marea | buje parrilla delantera central diam 20,9mm fiat tipo1.6 y 2.0/fiat bravo/alfa145/146/155/164/marea",46423823,,46423823,"BUJE DE PARRILLA | DEL | buje parrilla delantera central diam 20,9mm fiat tipo1.6 y 2.0/fiat bravo/alfa145/146/155/164/marea",https://www.tamarit.com.ar/image/productos/995871.jpg,https://www.tamarit.com.ar/image/productos/995871.jpg,VTH
5872,BUJE DE PARRILLA,FIAT,BRAVO,,"DEL | central diam 19,9mm fiat tipo/fiat bravo/dedra/alfa145/155/164/marea | buje parrilla delantera central diam 19,9mm fiat tipo/fiat bravo/dedra/alfa145/155/164/marea",7601064,,7601064,"BUJE DE PARRILLA | DEL | buje parrilla delantera central diam 19,9mm fiat tipo/fiat bravo/dedra/alfa145/155/164/marea",https://www.tamarit.com.ar/image/productos/995872.jpg,https://www.tamarit.com.ar/image/productos/995872.jpg,VTH
