codigo,producto,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,fuente
7751,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | soporte de motor derecho twingo,7700412094,,https://www.tamarit.com.ar/image/productos/997751.jpg,https://www.tamarit.com.ar/image/productos/997751.jpg,VTH
7752,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | soporte de motor izquierdo twingo,7700425709,,https://www.tamarit.com.ar/image/productos/997752.jpg,https://www.tamarit.com.ar/image/productos/997752.jpg,VTH
7753,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | soporte de motor derecho twingo,7700827544,,https://www.tamarit.com.ar/image/productos/997753.jpg,https://www.tamarit.com.ar/image/productos/997753.jpg,VTH
7754,CAZOLETA,,CAZOLETA | TRAS | cazoleta de amortiguador trasera twingo,7700846916,,https://www.tamarit.com.ar/image/productos/997754.jpg,https://www.tamarit.com.ar/image/productos/997754.jpg,VTH
7755,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | soporte de motor lado derecho clio ii motor 1.2 y 1.4 nafta / kangoo motor 1.6 nafta,7700415087,,https://www.tamarit.com.ar/image/productos/997755.jpg,https://www.tamarit.com.ar/image/productos/997755.jpg,VTH
7756,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | soporte de motor hidraulico lado derecho megane ii logan 1.9 dci-2.0i,8200592642,,https://www.tamarit.com.ar/image/productos/997756.jpg,https://www.tamarit.com.ar/image/productos/997756.jpg,VTH
7758,SOPORTE,,SOPORTE | TRAS | soporte trasero de motor laguna 1.8 nafta y 1.9 diesel,7700422529,,https://www.tamarit.com.ar/image/productos/997758.jpg,https://www.tamarit.com.ar/image/productos/997758.jpg,VTH
7760,SOPORTE,,SOPORTE | TRAS | soporte trasero de motor laguna i - laguna ii - espace 1.9 dti - 3.0 v6,7700411189,,https://www.tamarit.com.ar/image/productos/997760.jpg,https://www.tamarit.com.ar/image/productos/997760.jpg,VTH
7761,SOPORTE,,SOPORTE | DEL | soporte de caja renault express delantero izquierdo,7700755531,,https://www.tamarit.com.ar/image/productos/997761.jpg,https://www.tamarit.com.ar/image/productos/997761.jpg,VTH
7762,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | TRAS | soporte de motor renault express diesel trasero,7700770307,,https://www.tamarit.com.ar/image/productos/997762.jpg,https://www.tamarit.com.ar/image/productos/997762.jpg,VTH
7763,CAZOLETA,,CAZOLETA | DEL | cazoleta amortiguador delantera trafic,7700734718,,https://www.tamarit.com.ar/image/productos/997763.jpg,https://www.tamarit.com.ar/image/productos/997763.jpg,VTH
7764,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | soporte de motor derecho renault master-2,8200022595,,https://www.tamarit.com.ar/image/productos/997764.jpg,https://www.tamarit.com.ar/image/productos/997764.jpg,VTH
7765,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | soporte de motor izquierdo renault master / master-2i,8200199149,,https://www.tamarit.com.ar/image/productos/997765.jpg,https://www.tamarit.com.ar/image/productos/997765.jpg,VTH
7766,SOPORTE,,SOPORTE | TRAS | soporte trasero de motor renault master-2,7700308756,,https://www.tamarit.com.ar/image/productos/997766.jpg,https://www.tamarit.com.ar/image/productos/997766.jpg,VTH
7767,BUJE DE BARRA ESTABILIZADORA,,BUJE DE BARRA ESTABILIZADORA | DEL | buje de barra estab. delantera torino,2057825,,https://www.tamarit.com.ar/image/productos/997767.jpg,https://www.tamarit.com.ar/image/productos/997767.jpg,VTH
7770,SOPORTE MOTOR,,SOPORTE MOTOR | TRAS | soporte motor central trasero clio ii - kangoo - scenic - megane i,7700832264,,https://www.tamarit.com.ar/image/productos/997770.jpg,https://www.tamarit.com.ar/image/productos/997770.jpg,VTH
7771,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | DER | soporte de motor hidraulico der megane 2 f4r,8200014931,,https://www.tamarit.com.ar/image/productos/997771.jpg,https://www.tamarit.com.ar/image/productos/997771.jpg,VTH
7772,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | soporte de motor lado derecho clio-2 diesel,8200267625,,https://www.tamarit.com.ar/image/productos/997772.jpg,https://www.tamarit.com.ar/image/productos/997772.jpg,VTH
7773,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | soporte de motor derecho laguna nafta motor f3r,7700823950,,https://www.tamarit.com.ar/image/productos/997773.jpg,https://www.tamarit.com.ar/image/productos/997773.jpg,VTH
7774,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | soporte de motor inferior renault clio 2 - megane - scenic,8200171178,,https://www.tamarit.com.ar/image/productos/997774.jpg,https://www.tamarit.com.ar/image/productos/997774.jpg,VTH
