codigo,producto,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,fuente,titulo,categoria,pieza,posicion,lado,diametro_int,diametro_ext,altura,diametro_int_filtro,diametro_ext_filtro,altura_filtro,abs
RCC80,RODAMIENTO,,Aplicaciones: CITROEN XSARA 92> | CITROEN ZX 93> | PEUGEOT 205 88>00 | PEUGEOT 306 95>03,47937,Ø int: 42 | Ø ext: 49 | Alt: 22 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,SUSPENSION,TRAS,INT,42,49,22,42,49,22,NO
RCC2,RODAMIENTO,,Aplicaciones: DACIA 1310 90> | DACIA 1410 90> | RENAULT R12 70>95,6207 ANB12 | 6207 N/VP089 | 4RR6207NV,Ø int: 35 | Ø ext: 72 | Alt: 17 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,INT/EXT,35,72,17,35,72,17,NO
RR17,RODAMIENTO,,Aplicaciones: FIAT 128 71>77 | FIAT 128 EUROPA 78>91 | FIAT 128 SUPER EUROPA 78>91 | FIAT 147 82<85 | FIAT 147 85>97 | FIAT BRIO 86> | FIAT DUNA <85 | FIAT DUNA 85> | FIAT REGATTA 85>95 | FIAT SPAZIO 85>97 | FIAT UNO <85 | FIAT UNO 85> | FIAT UNO 70S 94> | FIAT VIVACE 92>98,BA 2B 633313 | BAHB 633313EA | 4RR633313 | PW30600337CS | 615505 | R158.30 | 713690160 | 513116,Ø int: 30 | Ø ext: 60.03 | Alt: 37 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,AMBAS,IZQ/DER,30,60.03,37,30,60,37,NO
RR08,RODAMIENTO,,Aplicaciones: FIAT 128 EUROPA 78>91 | FIAT 128 SUPER EUROPA 78>91 | FIAT 147 85>97 | FIAT BRIO 86> | FIAT DUNA 85> | FIAT FIORINO 88> | FIAT FIORUNO 96> | FIAT IDEA | FIAT PALIO 97> | FIAT PALIO ADVENTURE 05> | FIAT PALIO WEEKEND 97> | FIAT PUNTO | FIAT REGATTA 85>95 | FIAT SIENA 97> | FIAT SPAZIO 85>97 | FIAT UNO 85> | FIAT VIVACE 92>98 | VOLVO 460 90>97,BAH 0031 | BAH-0031 D | 4RR633295 | PW35680037CS | GB12132S02 | 13690050 | B 33,Ø int: 35 | Ø ext: 68 | Alt: 37 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,35,68,37,35,68,37,NO
RR15,RODAMIENTO,,Aplicaciones: FIAT 147 82>97 | FIAT BRIO 86> | FIAT DUNA 85> | FIAT FIORINO 88> | FIAT FIORUNO 96> | FIAT PALIO 97> | FIAT PALIO WEEKEND 97> | FIAT PUNTO 07> | FIAT REGATTA 85>95 | FIAT SIENA 97> | FIAT SPAZIO 85>97 | FIAT UNO 85> | FIAT VIVACE 92>98,F 110165 | 4RR110165 | F-110165 | 710002110,Ø int: 23 | Ø ext: 47.3 | Alt: 27.2 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,SEMIEJE,DEL,IZQ/DER,23,47.3,27.2,23,47,27,NO
RR82,RODAMIENTO,,Aplicaciones: FIAT 500 | FIAT GRAND SIENA 12>14 | FIAT TIPO 88>95 | FIAT UNO 10>14,GB 12306 | BAH-0015E | PW35660033CS | GB12306S01 | 805998,Ø int: 35 | Ø ext: 66 | Alt: 33 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,35,66,33,35,66,33,NO
RCC37,RODAMIENTO,,Aplicaciones: FIAT DUCATO 92>01 | MERCEDES BENZ SPRINTER 4X4 | PEUGEOT BOXER 95>01,32010 X | VKBA 1444 | 4RR32010XK | 32010X,Ø int: 50 | Ø ext: 80 | Alt: 20 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT/EXT,50,80,20,50,80,20,NO
RCC35,RODAMIENTO,,Aplicaciones: FIAT DUCATO | PEUGEOT BOXER,32006 X | VKHB 2267 | 32006X,Ø int: 30 | Ø ext: 55 | Alt: 17 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,EXT,30,55,17,30,55,17,NO
RCC36,RODAMIENTO,,Aplicaciones: FIAT DUCATO | PEUGEOT BOXER,32008 X | VKHB2188 | 32008X,Ø int: 40 | Ø ext: 68 | Alt: 19 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT,40,68,19,40,68,19,NO
RCC46,RODAMIENTO,,Aplicaciones: FIAT DUCATO | MERCEDES BENZ 180 | PEUGEOT BOXER,32206 | VKHB2016,Ø int: 30 | Ø ext: 62 | Alt: 21.25 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,EXT,30,62,21.25,30,62,21,NO
